"","species","set_type","EEZ","Country","PNA_country","EEZ_catch"
"128","OTH","OTH","Philippines Exclusive Economic Zone","Philippines",FALSE,0
"129","OTH","OTH","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,0
"130","OTH","OTH","South Korean Exclusive Economic Zone","South Korea",FALSE,0
"131","OTH","OTH","Spratly Islands Exclusive Economic Zone","Spratly Islands",FALSE,0
"132","OTH","OTH","Tokelau Exclusive Economic Zone","Tokelau",FALSE,0
"133","OTH","OTH","Tuvaluan Exclusive Economic Zone","Tuvalu",TRUE,0
"134","OTH","OTH","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,0
"135","OTH","OTH","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,0
"136","OTH","UNA","American Samoa Exclusive Economic Zone","American Samoa",FALSE,0
"137","OTH","UNA","Australian Exclusive Economic Zone","Australia",FALSE,6.719
"138","OTH","UNA","Chinese Exclusive Economic Zone","China",FALSE,75995.529
"139","OTH","UNA","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,1.606
"140","OTH","UNA","Fijian Exclusive Economic Zone","Fiji",FALSE,5.505
"141","OTH","UNA","High Seas",NA,FALSE,23153.356
"142","OTH","UNA","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island",FALSE,0.005
"143","OTH","UNA","Indonesian Exclusive Economic Zone","Indonesia",FALSE,2.737
"144","OTH","UNA","Japanese Exclusive Economic Zone","Japan",FALSE,109841.584
"145","OTH","UNA","Kiribati Exclusive Economic Zone","Kiribati",TRUE,1.951
"146","OTH","UNA","Kiribati Exclusive Economic Zone (Line Group)","Line Group",TRUE,0
"147","OTH","UNA","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,6.315
"148","OTH","UNA","Marshall Islands Exclusive Economic Zone","Marshall Islands",TRUE,0
"149","OTH","UNA","Micronesian Exclusive Economic Zone","Micronesia",TRUE,20.66
"150","OTH","UNA","Nauruan Exclusive Economic Zone","Nauru",TRUE,1.679
"151","OTH","UNA","New Zealand Exclusive Economic Zone","New Zealand",FALSE,1.039
"152","OTH","UNA","Palau Exclusive Economic Zone","Palau",TRUE,0
"153","OTH","UNA","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,366.055
"154","OTH","UNA","Paracel Islands Exclusive Economic Zone","Paracel Islands",FALSE,0
"155","OTH","UNA","Philippines Exclusive Economic Zone","Philippines",FALSE,0
"156","OTH","UNA","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,12.87
"157","OTH","UNA","South Korean Exclusive Economic Zone","South Korea",FALSE,260.883
"158","OTH","UNA","Spratly Islands Exclusive Economic Zone","Spratly Islands",FALSE,0
"159","OTH","UNA","Tokelau Exclusive Economic Zone","Tokelau",FALSE,1.612
"160","OTH","UNA","Tuvaluan Exclusive Economic Zone","Tuvalu",TRUE,22.058
"161","OTH","UNA","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,0.274
"162","OTH","UNA","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,0
"163","SKJ","ASS","American Samoa Exclusive Economic Zone","American Samoa",FALSE,2796.558
"164","SKJ","ASS","Australian Exclusive Economic Zone","Australia",FALSE,6563.296
"165","SKJ","ASS","Chinese Exclusive Economic Zone","China",FALSE,641.828
"166","SKJ","ASS","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,962.957
"167","SKJ","ASS","Fijian Exclusive Economic Zone","Fiji",FALSE,74564.883
"168","SKJ","ASS","High Seas",NA,FALSE,1059563.426
"169","SKJ","ASS","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island",FALSE,1566.35
"170","SKJ","ASS","Indonesian Exclusive Economic Zone","Indonesia",FALSE,488633.092
"171","SKJ","ASS","Japanese Exclusive Economic Zone","Japan",FALSE,1740.757
"172","SKJ","ASS","Kiribati Exclusive Economic Zone","Kiribati",TRUE,100376.96
"173","SKJ","ASS","Kiribati Exclusive Economic Zone (Line Group)","Line Group",TRUE,3530.681
"174","SKJ","ASS","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,69225.236
"175","SKJ","ASS","Marshall Islands Exclusive Economic Zone","Marshall Islands",TRUE,0
"176","SKJ","ASS","Micronesian Exclusive Economic Zone","Micronesia",TRUE,124957.688
"177","SKJ","ASS","Nauruan Exclusive Economic Zone","Nauru",TRUE,95446.966
"178","SKJ","ASS","New Zealand Exclusive Economic Zone","New Zealand",FALSE,0
"179","SKJ","ASS","Palau Exclusive Economic Zone","Palau",TRUE,81808.93
"180","SKJ","ASS","Papua New Guinean Exclusive Economic Zone","Papua New Guinea",TRUE,846226.444
"181","SKJ","ASS","Paracel Islands Exclusive Economic Zone","Paracel Islands",FALSE,13385.4
"182","SKJ","ASS","Philippines Exclusive Economic Zone","Philippines",FALSE,51286.524
"183","SKJ","ASS","Solomon Islands Exclusive Economic Zone","Solomon Islands",TRUE,477225.023
"184","SKJ","ASS","South Korean Exclusive Economic Zone","South Korea",FALSE,19.916
"185","SKJ","ASS","Spratly Islands Exclusive Economic Zone","Spratly Islands",FALSE,13385.306
"186","SKJ","ASS","Tokelau Exclusive Economic Zone","Tokelau",FALSE,48300.405
"187","SKJ","ASS","Tuvaluan Exclusive Economic Zone","Tuvalu",TRUE,141853.792
"188","SKJ","ASS","Vanuatu Exclusive Economic Zone","Vanuatu",FALSE,2487.382
"189","SKJ","ASS","Vietnamese Exclusive Economic Zone","Vietnam",FALSE,26770.196
"190","SKJ","OTH","American Samoa Exclusive Economic Zone","American Samoa",FALSE,0
"191","SKJ","OTH","Australian Exclusive Economic Zone","Australia",FALSE,0
"192","SKJ","OTH","Chinese Exclusive Economic Zone","China",FALSE,0
"193","SKJ","OTH","Cook Islands Exclusive Economic Zone","Cook Islands",FALSE,0
"194","SKJ","OTH","Fijian Exclusive Economic Zone","Fiji",FALSE,0
"195","SKJ","OTH","High Seas",NA,FALSE,0
"196","SKJ","OTH","Howland and Baker Island Exclusive Economic Zone","Howland Island and Baker Island",FALSE,0
"197","SKJ","OTH","Indonesian Exclusive Economic Zone","Indonesia",FALSE,0
"198","SKJ","OTH","Japanese Exclusive Economic Zone","Japan",FALSE,0
"199","SKJ","OTH","Kiribati Exclusive Economic Zone","Kiribati",TRUE,0
"200","SKJ","OTH","Kiribati Exclusive Economic Zone (Line Group)","Line Group",TRUE,0
"201","SKJ","OTH","Kiribati Exclusive Economic Zone (Phoenix Group)","Phoenix Group",TRUE,0
"202","SKJ","OTH","Marshall Islands Exclusive Economic Zone","Marshall Islands",TRUE,0
"203","SKJ","OTH","Micronesian Exclusive Economic Zone","Micronesia",TRUE,0
"204","SKJ","OTH","Nauruan Exclusive Economic Zone","Nauru",TRUE,0
