"","EEZ","Country","PNA_country","set_type","EEZ_total_catch","EEZ_total_days","LON5_D","LAT5_D"
"107","Japanese Exclusive Economic Zone","Japan",FALSE,"ASS",38.536,2963.66,130,30
"108","Japanese Exclusive Economic Zone","Japan",FALSE,"ASS",84.125,1876.55,130,35
"109","Japanese Exclusive Economic Zone","Japan",FALSE,"ASS",84.824,60.67,135,30
"110","Japanese Exclusive Economic Zone","Japan",FALSE,"ASS",553.7,96.84,140,30
"111","Japanese Exclusive Economic Zone","Japan",FALSE,"ASS",950.28,224.01,140,35
"112","Japanese Exclusive Economic Zone","Japan",FALSE,"OTH",0,1921.71,125,25
"113","Japanese Exclusive Economic Zone","Japan",FALSE,"OTH",0,2963.66,130,30
"114","Japanese Exclusive Economic Zone","Japan",FALSE,"OTH",0,1876.55,130,35
"115","Japanese Exclusive Economic Zone","Japan",FALSE,"OTH",0,60.67,135,30
"116","Japanese Exclusive Economic Zone","Japan",FALSE,"OTH",0,96.84,140,30
"117","Japanese Exclusive Economic Zone","Japan",FALSE,"OTH",0,224.01,140,35
"118","Japanese Exclusive Economic Zone","Japan",FALSE,"UNA",171.705,1921.71,125,25
"119","Japanese Exclusive Economic Zone","Japan",FALSE,"UNA",111.464,2963.66,130,30
"120","Japanese Exclusive Economic Zone","Japan",FALSE,"UNA",353.072,1876.55,130,35
"121","Japanese Exclusive Economic Zone","Japan",FALSE,"UNA",1809.776,60.67,135,30
"122","Japanese Exclusive Economic Zone","Japan",FALSE,"UNA",1010.001,96.84,140,30
"123","Japanese Exclusive Economic Zone","Japan",FALSE,"UNA",2128.22,224.01,140,35
"124","Kiribati Exclusive Economic Zone","Kiribati",TRUE,"ASS",59543.464,4446.34,170,0
"125","Kiribati Exclusive Economic Zone","Kiribati",TRUE,"ASS",40833.496,2519.56,175,0
"126","Kiribati Exclusive Economic Zone","Kiribati",TRUE,"OTH",0,4446.34,170,0
"127","Kiribati Exclusive Economic Zone","Kiribati",TRUE,"OTH",0,2519.56,175,0
"128","Kiribati Exclusive Economic Zone","Kiribati",TRUE,"UNA",42042.937,4446.34,170,0
