SA_fleet	species	age_quarters	selectivity
L-JPN-4	SKJ	3	0.07
L-JPN-4	SKJ	4	0.39
L-JPN-4	SKJ	5	0.82
L-JPN-4	SKJ	6	0.96
L-JPN-4	SKJ	7	0.96
L-JPN-4	SKJ	8	0.96
L-JPN-4	SKJ	9	0.98
L-JPN-4	SKJ	10	0.99
L-JPN-4	SKJ	11	0.99
L-JPN-4	SKJ	12	1
L-JPN-4	SKJ	13	1
L-JPN-4	SKJ	14	1
L-JPN-4	SKJ	15	1
L-JPN-4	SKJ	16	1
P-ALL-4	SKJ	1	0.02
P-ALL-4	SKJ	2	0.03
P-ALL-4	SKJ	3	0.19
P-ALL-4	SKJ	4	0.76
P-ALL-4	SKJ	5	1
P-ALL-4	SKJ	6	0.75
P-ALL-4	SKJ	7	0.51
P-ALL-4	SKJ	8	0.37
P-ALL-4	SKJ	9	0.3
P-ALL-4	SKJ	10	0.26
P-ALL-4	SKJ	11	0.24
P-ALL-4	SKJ	12	0.22
P-ALL-4	SKJ	13	0.21
P-ALL-4	SKJ	14	0.21
P-ALL-4	SKJ	15	0.21
P-ALL-4	SKJ	16	0.21
S-ASS-ALL-3	SKJ	1	0
S-ASS-ALL-3	SKJ	2	0.02
S-ASS-ALL-3	SKJ	3	0.14
S-ASS-ALL-3	SKJ	4	1
S-ASS-ALL-3	SKJ	5	0.93
S-ASS-ALL-3	SKJ	6	0.4
S-ASS-ALL-3	SKJ	7	0.21
S-ASS-ALL-3	SKJ	8	0.18
S-ASS-ALL-3	SKJ	9	0.19
S-ASS-ALL-3	SKJ	10	0.22
S-ASS-ALL-3	SKJ	11	0.26
S-ASS-ALL-3	SKJ	12	0.29
S-ASS-ALL-3	SKJ	13	0.3
S-ASS-ALL-3	SKJ	14	0.31
S-ASS-ALL-3	SKJ	15	0.31
S-ASS-ALL-3	SKJ	16	0.32
S-ASS-DW-4	SKJ	1	0
S-ASS-DW-4	SKJ	2	0.04
S-ASS-DW-4	SKJ	3	0.53
S-ASS-DW-4	SKJ	4	1
S-ASS-DW-4	SKJ	5	0.84
S-ASS-DW-4	SKJ	6	0.56
S-ASS-DW-4	SKJ	7	0.38
S-ASS-DW-4	SKJ	8	0.27
