SA_fleet	species	age_quarters	selectivity
L-US-4	YFT	9	0.32
L-US-4	YFT	10	0.37
L-US-4	YFT	11	0.44
L-US-4	YFT	12	0.52
L-US-4	YFT	13	0.59
L-US-4	YFT	14	0.69
L-US-4	YFT	15	0.76
L-US-4	YFT	16	0.81
L-US-4	YFT	17	0.86
L-US-4	YFT	18	0.9
L-US-4	YFT	19	0.93
L-US-4	YFT	20	0.96
L-US-4	YFT	21	0.98
L-US-4	YFT	22	0.98
L-US-4	YFT	23	1
L-US-4	YFT	24	1
L-US-4	YFT	25	1
L-US-4	YFT	26	1
L-US-4	YFT	27	1
L-US-4	YFT	28	1
L-AU-5	YFT	1	0.03
L-AU-5	YFT	2	0
L-AU-5	YFT	3	0
L-AU-5	YFT	4	0
L-AU-5	YFT	5	0
L-AU-5	YFT	6	0
L-AU-5	YFT	7	0.08
L-AU-5	YFT	8	0.15
L-AU-5	YFT	9	0.17
L-AU-5	YFT	10	0.2
L-AU-5	YFT	11	0.22
L-AU-5	YFT	12	0.27
L-AU-5	YFT	13	0.34
L-AU-5	YFT	14	0.42
L-AU-5	YFT	15	0.52
L-AU-5	YFT	16	0.61
L-AU-5	YFT	17	0.71
L-AU-5	YFT	18	0.81
L-AU-5	YFT	19	0.86
L-AU-5	YFT	20	0.91
L-AU-5	YFT	21	0.95
L-AU-5	YFT	22	0.98
L-AU-5	YFT	23	0.98
L-AU-5	YFT	24	1
L-AU-5	YFT	25	1
L-AU-5	YFT	26	1
L-AU-5	YFT	27	1
L-AU-5	YFT	28	1
L-ALL-5	YFT	1	0
L-ALL-5	YFT	2	0
L-ALL-5	YFT	3	0
L-ALL-5	YFT	4	0
L-ALL-5	YFT	5	0.03
L-ALL-5	YFT	6	0.13
L-ALL-5	YFT	7	0.32
L-ALL-5	YFT	8	0.62
L-ALL-5	YFT	9	0.88
L-ALL-5	YFT	10	1.01
L-ALL-5	YFT	11	0.95
L-ALL-5	YFT	12	0.86
L-ALL-5	YFT	13	0.71
L-ALL-5	YFT	14	0.61
L-ALL-5	YFT	15	0.54
L-ALL-5	YFT	16	0.47
L-ALL-5	YFT	17	0.42
L-ALL-5	YFT	18	0.4
L-ALL-5	YFT	19	0.37
L-ALL-5	YFT	20	0.37
L-ALL-5	YFT	21	0.35
L-ALL-5	YFT	22	0.35
L-ALL-5	YFT	23	0.35
L-ALL-5	YFT	24	0.35
L-ALL-5	YFT	25	0.35
L-ALL-5	YFT	26	0.35
L-ALL-5	YFT	27	0.35
L-ALL-5	YFT	28	0.35
L-ALL-6	YFT	1	0
L-ALL-6	YFT	2	0
L-ALL-6	YFT	3	0
L-ALL-6	YFT	4	0.03
L-ALL-6	YFT	5	0.06
L-ALL-6	YFT	6	0.13
L-ALL-6	YFT	7	0.32
L-ALL-6	YFT	8	0.61
L-ALL-6	YFT	9	0.88
L-ALL-6	YFT	10	1
L-ALL-6	YFT	11	0.97
L-ALL-6	YFT	12	0.85
L-ALL-6	YFT	13	0.74
L-ALL-6	YFT	14	0.61
L-ALL-6	YFT	15	0.54
L-ALL-6	YFT	16	0.47
L-ALL-6	YFT	17	0.44
L-ALL-6	YFT	18	0.39
L-ALL-6	YFT	19	0.39
L-ALL-6	YFT	20	0.37
L-ALL-6	YFT	21	0.34
L-ALL-6	YFT	22	0.34
L-ALL-6	YFT	23	0.34
L-ALL-6	YFT	24	0.34
L-ALL-6	YFT	25	0.34
L-ALL-6	YFT	26	0.34
L-ALL-6	YFT	27	0.34
L-ALL-6	YFT	28	0.34
S-ASS-ALL-3	YFT	1	0.35
S-ASS-ALL-3	YFT	2	0.59
S-ASS-ALL-3	YFT	3	1
S-ASS-ALL-3	YFT	4	0.93
S-ASS-ALL-3	YFT	5	0.69
S-ASS-ALL-3	YFT	6	0.52
S-ASS-ALL-3	YFT	7	0.45
S-ASS-ALL-3	YFT	8	0.4
S-ASS-ALL-3	YFT	9	0.35
S-ASS-ALL-3	YFT	10	0.27
S-ASS-ALL-3	YFT	11	0.23
S-ASS-ALL-3	YFT	12	0.18
S-ASS-ALL-3	YFT	13	0.15
S-ASS-ALL-3	YFT	14	0.13
