"","LON5","LAT5","YY","MM","avg_sst"
"137",175,-40,2000,3,17.8936289618854
"138",145,-45,2000,3,14.0395587982239
"139",120,0,2000,4,29.9630038950743
"140",125,0,2000,4,29.8100156116991
"141",130,0,2000,4,30.0989848636958
"142",135,0,2000,4,30.2218322926447
"143",140,0,2000,4,30.3188660701368
"144",145,0,2000,4,29.5374961296572
"145",150,0,2000,4,28.8820374808346
"146",155,0,2000,4,28.421515082261
"147",160,0,2000,4,27.9262257997007
"148",165,0,2000,4,27.5068566136717
"149",170,0,2000,4,27.0876507201097
"150",175,0,2000,4,26.9529341989571
"151",120,5,2000,4,29.330938893427
"152",125,5,2000,4,29.2731155336271
"153",130,5,2000,4,29.5935865954134
"154",140,5,2000,4,29.4450490265293
"155",145,5,2000,4,29.0535687864575
"156",150,5,2000,4,28.745648674454
