SA_fleet	species	age_quarters	selectivity
L-ALL-7	BET	37	0.22
L-ALL-7	BET	38	0.22
L-ALL-7	BET	39	0.22
L-ALL-7	BET	40	0.22
L-ALL-8	BET	1	0
L-ALL-8	BET	2	0
L-ALL-8	BET	3	0
L-ALL-8	BET	4	0
L-ALL-8	BET	5	0
L-ALL-8	BET	6	0.02
L-ALL-8	BET	7	0.05
L-ALL-8	BET	8	0.15
L-ALL-8	BET	9	0.32
L-ALL-8	BET	10	0.58
L-ALL-8	BET	11	0.81
L-ALL-8	BET	12	0.97
L-ALL-8	BET	13	1
L-ALL-8	BET	14	0.95
L-ALL-8	BET	15	0.87
L-ALL-8	BET	16	0.79
L-ALL-8	BET	17	0.72
L-ALL-8	BET	18	0.67
L-ALL-8	BET	19	0.64
L-ALL-8	BET	20	0.64
L-ALL-8	BET	21	0.64
L-ALL-8	BET	22	0.65
L-ALL-8	BET	23	0.69
L-ALL-8	BET	24	0.71
L-ALL-8	BET	25	0.75
L-ALL-8	BET	26	0.78
L-ALL-8	BET	27	0.81
L-ALL-8	BET	28	0.85
L-ALL-8	BET	29	0.88
L-ALL-8	BET	30	0.91
L-ALL-8	BET	31	0.92
L-ALL-8	BET	32	0.94
L-ALL-8	BET	33	0.96
L-ALL-8	BET	34	0.97
L-ALL-8	BET	35	0.99
L-ALL-8	BET	36	0.99
L-ALL-8	BET	37	0.99
L-ALL-8	BET	38	0.99
L-ALL-8	BET	39	0.99
L-ALL-8	BET	40	0.99
L-ALL-4	BET	1	0
L-ALL-4	BET	2	0
L-ALL-4	BET	3	0
L-ALL-4	BET	4	0
L-ALL-4	BET	5	0
L-ALL-4	BET	6	0
L-ALL-4	BET	7	0.04
L-ALL-4	BET	8	0.08
L-ALL-4	BET	9	0.18
L-ALL-4	BET	10	0.31
L-ALL-4	BET	11	0.47
L-ALL-4	BET	12	0.63
L-ALL-4	BET	13	0.79
L-ALL-4	BET	14	0.92
L-ALL-4	BET	15	0.99
L-ALL-4	BET	16	1
L-ALL-4	BET	17	0.97
L-ALL-4	BET	18	0.9
L-ALL-4	BET	19	0.79
L-ALL-4	BET	20	0.68
L-ALL-4	BET	21	0.58
L-ALL-4	BET	22	0.49
L-ALL-4	BET	23	0.41
L-ALL-4	BET	24	0.34
L-ALL-4	BET	25	0.29
L-ALL-4	BET	26	0.25
L-ALL-4	BET	27	0.23
L-ALL-4	BET	28	0.2
